City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Port Blair,IN,81.61,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
241,Sulangan,PH,80.87,overcast clouds,11.1373,123.7228,Maia's Beach Resort
246,Angol,CL,84.54,few clouds,-37.8,-72.7167,Hostal Gina
247,Nioro,GM,85.87,clear sky,13.35,-15.75,
249,Uvalde,US,79.41,clear sky,29.3669,-99.767,
254,Mata De Sao Joao,BR,85.75,scattered clouds,-12.5303,-38.2992,Sítio Sapiranga
256,Lasem,ID,77.83,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
257,Mar Del Plata,AR,84.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
260,Auki,SB,77.56,broken clouds,-8.7676,160.7034,Auki Motel
266,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
268,Angoche,MZ,78.93,light rain,-16.2325,39.9086,Guest House HESADA
270,Saint-Pierre,RE,76.91,few clouds,-21.3393,55.4781,Lindsey Hôtel
275,Sibolga,ID,77.07,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
278,Ternate,ID,80.31,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
279,Kismayo,SO,79.02,overcast clouds,-0.3582,42.5454,Agan-Hotel
283,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
284,Peque,CO,76.77,broken clouds,7.0212,-75.9093,Hotel Rodizzio
292,Chilca,PE,75.13,scattered clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
293,Xuddur,SO,80.89,few clouds,4.1213,43.8894,Banjanay Hotel
296,Lujan,AR,83.01,clear sky,-34.5703,-59.105,Hotel Biarritz
298,Bontang,ID,78.57,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
300,La Libertad,EC,82.06,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
302,Sirohi,IN,75.78,clear sky,24.8833,72.8667,Dheeraj Kumar
303,Yazman,PK,84.92,clear sky,29.1212,71.7446,Jamal sons showroom
304,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
312,San Patricio,US,84.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
313,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
314,Atar,MR,75.97,clear sky,20.5169,-13.0499,Oumou Elghoura
317,Abu Dhabi,AE,77.11,clear sky,24.4667,54.3667,Beach Rotana
322,Pandan,PH,77.76,scattered clouds,14.0453,124.1694,Bonifacio Lodge
323,Kulhudhuffushi,MV,82.24,overcast clouds,6.6221,73.07,Haajy Guest House 1
329,Sao Sebastiao,BR,77.23,moderate rain,-23.76,-45.4097,Hotel Recanto dos Pássaros
333,Puri,IN,75.72,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
337,Rondonopolis,BR,79.12,overcast clouds,-16.4708,-54.6356,Serras Hotel
339,Girua,BR,77.49,clear sky,-28.0283,-54.3497,Colinas Hotel
340,Takoradi,GH,80.98,moderate rain,4.8845,-1.7554,Raybow International Hotel
341,Harper,LR,80.11,light rain,4.375,-7.7169,Screensaver
347,Piacabucu,BR,82.45,few clouds,-10.4056,-36.4344,Piaçabuçu News
349,Trincomalee,LK,79.79,overcast clouds,8.5711,81.2335,Welcombe Hotel
350,Ratnagiri,IN,79.66,broken clouds,16.9833,73.3,Hotel Landmark
358,Pundaguitan,PH,81.75,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
363,Kudahuvadhoo,MV,81.48,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
365,Dzilam Gonzalez,MX,85.68,scattered clouds,21.2833,-88.9333,posadas
367,Bac Lieu,VN,79.07,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
371,Nieuw Amsterdam,SR,84.36,scattered clouds,5.8833,-55.0833,Hotel Stardust
375,Tiarei,PF,87.82,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
376,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
377,Kadhan,PK,79.03,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
382,Ugoofaaru,MV,82.33,overcast clouds,5.6667,73.0,Ungoofaaru Inn
384,Touros,BR,83.21,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
385,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
388,Eyl,SO,77.14,clear sky,7.9803,49.8164,Amiin Hotel
394,Kattivakkam,IN,81.07,heavy intensity rain,13.2167,80.3167,Euronova Freezer
395,Suleja,NG,86.9,scattered clouds,9.1758,7.1808,Capy Motel
397,Tignere,CM,75.27,few clouds,7.3667,12.65,SADECK
398,Upata,VE,79.45,overcast clouds,8.0086,-62.3989,Posada Villa Nela
406,Kavieng,PG,82.4,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
408,Viedma,AR,75.78,broken clouds,-40.8135,-62.9967,Hotel Cristal
409,Vientiane,LA,89.04,overcast clouds,17.9667,102.6,Don Chan Palace Hotel & Convention
417,Waingapu,ID,78.89,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
424,Mitsamiouli,KM,81.46,overcast clouds,-11.3847,43.2844,Foyer ADM
426,Buin,CL,89.92,clear sky,-33.7333,-70.75,Paihuen
432,Aquidauana,BR,88.74,few clouds,-20.4711,-55.7872,HOTEL ARARAS
440,Morondava,MG,78.55,overcast clouds,-20.2833,44.2833,La Case Bambou
446,Sechura,PE,84.25,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
449,Jalor,IN,78.48,clear sky,25.35,72.6167,Hotel Mansarovar
453,Malakal,SS,86.59,overcast clouds,9.5334,31.6605,Nile Palace Hotel
458,Vaitape,PF,81.48,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
459,Pio Ix,BR,82.94,overcast clouds,-6.8375,-40.5792,Hotel Central
